SA2_CODE_2021,city_chooser,income_household,mortgage_existing,rent,house_price,rental_yield
107011132,Regional,118872,26232,26000,1000000,2.6
107011133,Regional,0,0,0,1000000,0
107011134,Regional,99840,24960,18460,1000000,1.846
107011545,Regional,65052,21168,18200,1000000,1.82
107011546,Regional,57616,21840,15600,1000000,1.5599999999999998
107011547,Regional,53872,23148,17940,1000000,1.794
107021135,Regional,168948,19140,14040,1000000,1.4040000000000001
107031136,Regional,108576,26004,24960,1000000,2.496
107031137,Regional,73372,21840,20280,1000000,2.028
107031138,Regional,82628,26004,24960,1000000,2.496
107031139,Regional,106756,27600,25480,1000000,2.548
107031140,Regional,103220,26004,26000,1000000,2.6
107031141,Regional,110604,26400,26520,1000000,2.6519999999999997
107031142,Regional,76856,23400,22100,1000000,2.21
107031143,Regional,61932,21840,18200,1000000,1.82
107041144,Regional,85020,26628,19760,1000000,1.976
107041145,Regional,74412,26004,17160,1000000,1.7160000000000002
107041146,Regional,100776,27000,21320,1000000,2.1319999999999997
107041147,Regional,132184,30144,27560,1000000,2.7560000000000002
107041148,Regional,125996,31200,28600,1000000,2.86
107041150,Regional,102336,28188,20280,1000000,2.028
107041548,Regional,82056,23844,21320,1000000,2.1319999999999997
107041549,Regional,82940,24000,19760,1000000,1.976
108011151,Regional,61828,18456,15600,1000000,1.5599999999999998
108011152,Regional,52780,20544,17680,1000000,1.7680000000000002
108011153,Regional,59384,18000,18200,1000000,1.82
108011154,Regional,44408,15864,16120,1000000,1.6119999999999999
108021155,Regional,56212,15600,14820,1000000,1.482
108021156,Regional,60320,15684,15600,1000000,1.5599999999999998
108021157,Regional,51896,16584,17160,1000000,1.7160000000000002
108021158,Regional,44200,15600,14820,1000000,1.482
108021159,Regional,57772,16800,15600,1000000,1.5599999999999998
108021160,Regional,51844,18204,17160,1000000,1.7160000000000002
108031161,Regional,88348,16800,16120,1000000,1.6119999999999999
108041162,Regional,56628,20796,18408,1000000,1.8408
108041164,Regional,62036,21840,20020,1000000,2.002
108041165,Regional,69368,20016,15600,1000000,1.5599999999999998
108041166,Regional,70460,20796,18720,1000000,1.872
108041619,Regional,72592,21036,18200,1000000,1.82
108041620,Regional,72020,21768,21840,1000000,2.1839999999999997
108051167,Regional,55588,15600,14300,1000000,1.43
108051168,Regional,64636,20796,18720,1000000,1.872
108051169,Regional,53092,15600,15080,1000000,1.508
108051170,Regional,55588,18000,16120,1000000,1.6119999999999999
108051171,Regional,57460,16452,15912,1000000,1.5912
109011172,Regional,93184,19500,16640,1000000,1.664
109011173,Regional,69160,15600,13936,1000000,1.3936
109011174,Regional,74828,18204,13000,1000000,1.3
109011175,Regional,78936,16644,11544,1000000,1.1544
109011176,Regional,59176,15600,13000,1000000,1.3
109021177,Regional,64272,10728,9100,1000000,0.91
109021178,Regional,72072,15600,10400,1000000,1.04
109021179,Regional,73008,12996,10400,1000000,1.04
109031180,Regional,58760,14556,11960,1000000,1.196
109031181,Regional,64896,15600,13780,1000000,1.3780000000000001
109031182,Regional,62348,12996,11960,1000000,1.196
109031183,Regional,62816,12996,8840,1000000,0.8840000000000001
109031184,Regional,70096,19656,16744,1000000,1.6743999999999999
109031185,Regional,59592,14124,10400,1000000,1.04
110011186,Regional,74464,18000,15080,1000000,1.508
110011187,Regional,63856,13128,13000,1000000,1.3
110011188,Regional,72904,17112,13000,1000000,1.3
110011189,Regional,62972,12672,10400,1000000,1.04
110021190,Regional,48568,12996,11440,1000000,1.1440000000000001
110021191,Regional,61724,15000,14040,1000000,1.4040000000000001
110021192,Regional,54964,12000,10400,1000000,1.04
110021193,Regional,53768,12996,10920,1000000,1.0919999999999999
110021194,Regional,46020,12996,12480,1000000,1.248
110031195,Regional,77688,16032,11960,1000000,1.196
110031196,Regional,84604,10404,9100,1000000,0.91
110031197,Regional,81016,17316,13520,1000000,1.352
110031198,Regional,74568,13776,10400,1000000,1.04
110041199,Regional,79820,18000,15600,1000000,1.5599999999999998
110041200,Regional,82420,15600,14300,1000000,1.43
110041201,Regional,60580,13596,11960,1000000,1.196
110041202,Regional,71916,17424,15600,1000000,1.5599999999999998
110041203,Regional,78676,18516,16640,1000000,1.664
110041204,Regional,64116,16644,15080,1000000,1.508
110041205,Regional,74412,19080,14300,1000000,1.43
111011206,Regional,79976,24108,18720,1000000,1.872
111011207,Regional,64480,21600,17160,1000000,1.7160000000000002
111011208,Regional,94016,24000,20280,1000000,2.028
111011209,Regional,94536,22620,19760,1000000,1.976
111011210,Regional,63492,21264,13260,1000000,1.3259999999999998
111011211,Regional,83096,27600,21840,1000000,2.1839999999999997
111011212,Regional,73788,24960,18720,1000000,1.872
111011213,Regional,114452,26004,25480,1000000,2.548
111011214,Regional,85696,25080,21320,1000000,2.1319999999999997
111021215,Regional,76440,20796,17316,1000000,1.7316000000000003
111021216,Regional,77532,21396,20800,1000000,2.08
111021217,Regional,105716,24000,23400,1000000,2.34
111021218,Regional,71656,24000,19760,1000000,1.976
111021219,Regional,72800,20796,17680,1000000,1.7680000000000002
111021220,Regional,80756,22656,19240,1000000,1.924
111021221,Regional,91988,21576,20280,1000000,2.028
111031222,Regional,107692,26004,21320,1000000,2.1319999999999997
111031223,Regional,64324,17400,17680,1000000,1.7680000000000002
111031224,Regional,86788,25380,19760,1000000,1.976
111031225,Regional,96876,25428,20280,1000000,2.028
111031226,Regional,112840,24000,24440,1000000,2.444
111031227,Regional,83408,22596,19760,1000000,1.976
111031228,Regional,118404,30000,21840,1000000,2.1839999999999997
111031229,Regional,100308,26028,23140,1000000,2.314
111031230,Regional,97500,30552,28600,1000000,2.86
111031231,Regional,68900,20400,18980,1000000,1.8980000000000001
111031232,Regional,73788,26004,22360,1000000,2.236
111031233,Regional,76440,21324,19760,1000000,1.976
111031234,Regional,85228,23244,19760,1000000,1.976
111031235,Regional,99580,23820,23400,1000000,2.34
112011236,Regional,59800,20796,20280,1000000,2.028
112011237,Regional,81380,22800,21320,1000000,2.1319999999999997
112011238,Regional,109512,27960,28600,1000000,2.86
112011239,Regional,76024,23400,25896,1000000,2.5896
112011240,Regional,90896,28080,32240,1000000,3.2239999999999998
112011241,Regional,58604,18756,16640,1000000,1.664
112011242,Regional,105820,26400,30160,1000000,3.016
112011243,Regional,70928,23400,23400,1000000,2.34
112021244,Regional,56836,15600,14560,1000000,1.456
112021245,Regional,59644,15648,13000,1000000,1.3
112021246,Regional,68900,18720,16640,1000000,1.664
112021247,Regional,52676,15600,14040,1000000,1.4040000000000001
112021248,Regional,61152,16116,15600,1000000,1.5599999999999998
112021249,Regional,76856,20796,17368,1000000,1.7368000000000001
112031250,Regional,79924,26880,25116,1000000,2.5116
112031251,Regional,60008,20796,18200,1000000,1.82
112031252,Regional,72124,20940,18200,1000000,1.82
112031253,Regional,76232,23400,24336,1000000,2.4336
112031254,Regional,61464,20796,20280,1000000,2.028
112031550,Regional,68432,22800,22880,1000000,2.2880000000000003
112031551,Regional,109200,26004,27976,1000000,2.7976
112031552,Regional,49348,20796,20280,1000000,2.028
113011256,Regional,88348,18000,15600,1000000,1.5599999999999998
113011257,Regional,84760,14400,11440,1000000,1.1440000000000001
113011258,Regional,74204,15600,13000,1000000,1.3
113011259,Regional,61568,12000,10400,1000000,1.04
113021260,Regional,69264,13524,10816,1000000,1.0816
113021261,Regional,64688,15600,12740,1000000,1.274
113021262,Regional,72280,15600,10400,1000000,1.04
113031263,Regional,54808,13332,11388,1000000,1.1388
113031264,Regional,70252,15492,11440,1000000,1.1440000000000001
113031265,Regional,72124,14964,13520,1000000,1.352
113031266,Regional,60736,12996,11440,1000000,1.1440000000000001
113031267,Regional,88348,18204,15600,1000000,1.5599999999999998
113031268,Regional,106184,20796,19760,1000000,1.976
113031269,Regional,83668,18204,15600,1000000,1.5599999999999998
113031270,Regional,66508,15624,14040,1000000,1.4040000000000001
113031271,Regional,90896,17880,14560,1000000,1.456
114011272,Regional,74308,26004,20800,1000000,2.08
114011273,Regional,64324,20796,19760,1000000,1.976
114011274,Regional,62140,20520,17212,1000000,1.7212
114011275,Regional,60632,26604,0,1000000,0
114011276,Regional,78052,24000,20800,1000000,2.08
114011277,Regional,70876,20796,17992,1000000,1.7992000000000001
114011278,Regional,67808,20796,17160,1000000,1.7160000000000002
114011279,Regional,57096,18204,18720,1000000,1.872
114011280,Regional,47268,18048,16120,1000000,1.6119999999999999
114011281,Regional,89232,24000,17420,1000000,1.7420000000000002
114011282,Regional,60684,19764,18252,1000000,1.8252000000000002
114011283,Regional,59488,19032,17160,1000000,1.7160000000000002
114021284,Regional,85800,27600,26000,1000000,2.6
114021285,Regional,100724,24000,22360,1000000,2.236
114021286,Regional,85124,26004,22620,1000000,2.262
114021287,Regional,80704,24000,20800,1000000,2.08
114021288,Regional,99528,26004,22880,1000000,2.2880000000000003
114021289,Regional,81848,25296,20800,1000000,2.08
115011290,Sydney,124228,31200,26520,1000000,2.6519999999999997
115011291,Sydney,148044,36000,31720,1000000,3.1719999999999997
115011294,Sydney,129532,36396,33800,1000000,3.38
115011296,Sydney,167284,36396,36400,1000000,3.64
115011553,Sydney,122772,32400,28600,1000000,2.86
115011554,Sydney,104728,36000,28444,1000000,2.8444000000000003
115011555,Sydney,141492,36000,31200,1000000,3.1199999999999997
115011556,Sydney,129064,36000,28600,1000000,2.86
115011557,Sydney,174772,36000,35984,1000000,3.5984000000000003
115011558,Sydney,152048,36000,36140,1000000,3.614
115011621,Sydney,158652,34800,33800,1000000,3.38
115011622,Sydney,154180,38400,31200,1000000,3.1199999999999997
115021297,Sydney,134940,36396,28600,1000000,2.86
115021298,Sydney,122928,33408,23920,1000000,2.392
115031299,Sydney,87776,26004,16640,1000000,1.664
115031300,Sydney,119132,28596,22880,1000000,2.2880000000000003
115041301,Sydney,121680,31200,26000,1000000,2.6
115041623,Sydney,154752,36000,30940,1000000,3.094
115041624,Sydney,162240,39000,31200,1000000,3.1199999999999997
115041625,Sydney,166712,34800,31720,1000000,3.1719999999999997
116011303,Sydney,91156,24000,19760,1000000,1.976
116011304,Sydney,92092,27240,20800,1000000,2.08
116011306,Sydney,104208,26400,19760,1000000,1.976
116011307,Sydney,102492,27600,19760,1000000,1.976
116011560,Sydney,92352,24516,20800,1000000,2.08
116011561,Sydney,96564,25200,21320,1000000,2.1319999999999997
116011626,Sydney,101920,26004,21840,1000000,2.1839999999999997
116011627,Sydney,107172,26004,21840,1000000,2.1839999999999997
116021309,Sydney,159536,31200,30680,1000000,3.068
116021562,Sydney,145392,29808,28080,1000000,2.8080000000000003
116021563,Sydney,124800,27816,23920,1000000,2.392
116021628,Sydney,164528,33600,31200,1000000,3.1199999999999997
116021629,Sydney,141908,34584,29640,1000000,2.964
116021630,Sydney,118144,31200,25480,1000000,2.548
116021631,Sydney,163280,36000,30160,1000000,3.016
116021632,Sydney,139464,33804,28600,1000000,2.86
116021633,Sydney,148720,32292,30160,1000000,3.016
116031313,Sydney,63232,20796,15600,1000000,1.5599999999999998
116031314,Sydney,107796,26004,21840,1000000,2.1839999999999997
116031315,Sydney,109824,25440,21840,1000000,2.1839999999999997
116031316,Sydney,73372,24960,16640,1000000,1.664
116031317,Sydney,72384,21600,17940,1000000,1.794
116031318,Sydney,84448,19500,27560,1000000,2.7560000000000002
116031319,Sydney,106600,26004,21840,1000000,2.1839999999999997
117011320,Sydney,115700,36000,32240,1000000,3.2239999999999998
117011321,Sydney,123396,32892,28600,1000000,2.86
117011323,Sydney,94016,31200,25740,1000000,2.574
117011324,Sydney,129948,38148,62400,1000000,6.239999999999999
117011325,Sydney,143000,27624,0,1000000,0
117011634,Sydney,73372,27564,20020,1000000,2.002
117011635,Sydney,117156,31200,31200,1000000,3.1199999999999997
117021327,Sydney,119756,36000,24440,1000000,2.444
117021328,Sydney,136188,34800,32760,1000000,3.276
117021636,Sydney,122616,33804,28600,1000000,2.86
117021637,Sydney,104936,30000,23400,1000000,2.34
117031329,Sydney,118508,35568,28600,1000000,2.86
117031330,Sydney,146900,33024,30732,1000000,3.0732
117031331,Sydney,108160,35388,26260,1000000,2.626
117031333,Sydney,106132,30000,25480,1000000,2.548
117031336,Sydney,120016,34068,28600,1000000,2.86
117031638,Sydney,126880,36000,31200,1000000,3.1199999999999997
117031639,Sydney,83512,28908,27040,1000000,2.704
117031640,Sydney,120900,36000,28600,1000000,2.86
117031641,Sydney,125944,33600,30160,1000000,3.016
117031642,Sydney,110032,33468,26000,1000000,2.6
117031643,Sydney,123032,31200,31200,1000000,3.1199999999999997
117031644,Sydney,127764,36000,33280,1000000,3.328
117031645,Sydney,109616,31200,32240,1000000,3.2239999999999998
117031646,Sydney,93860,30000,26000,1000000,2.6
117031647,Sydney,105456,30000,27560,1000000,2.7560000000000002
117031648,Sydney,113984,31704,31200,1000000,3.1199999999999997
118011339,Sydney,153452,41604,35100,1000000,3.51
118011340,Sydney,156676,41604,35828,1000000,3.5827999999999998
118011341,Sydney,133432,42000,33904,1000000,3.3903999999999996
118011342,Sydney,0,0,0,1000000,0
118011344,Sydney,147056,45456,33800,1000000,3.38
118011345,Sydney,146120,45600,30680,1000000,3.068
118011346,Sydney,180388,50340,37076,1000000,3.7076
118011347,Sydney,157092,48000,35100,1000000,3.51
118011649,Sydney,171652,44400,34320,1000000,3.4320000000000004
118011650,Sydney,151892,38400,37440,1000000,3.744
118021564,Sydney,110084,33600,26000,1000000,2.6
118021565,Sydney,98540,36000,24700,1000000,2.4699999999999998
118021566,Sydney,125580,36396,31200,1000000,3.1199999999999997
118021567,Sydney,98436,36000,25480,1000000,2.548
118021568,Sydney,111696,35640,28600,1000000,2.86
118021569,Sydney,124956,36000,29640,1000000,2.964
118021570,Sydney,127400,37920,29900,1000000,2.9899999999999998
118021651,Sydney,160784,41604,33800,1000000,3.38
118021652,Sydney,115180,38400,27820,1000000,2.782
118021653,Sydney,110864,36000,24700,1000000,2.4699999999999998
118021654,Sydney,109460,48000,10764,1000000,1.0764
119011354,Sydney,73320,28800,20800,1000000,2.08
119011355,Sydney,115336,31200,26000,1000000,2.6
119011356,Sydney,84604,27600,26000,1000000,2.6
119011358,Sydney,98748,29124,24440,1000000,2.444
119011360,Sydney,100464,30000,23920,1000000,2.392
119011361,Sydney,75556,25572,20800,1000000,2.08
119011571,Sydney,68744,21168,20800,1000000,2.08
119011572,Sydney,70460,21840,21580,1000000,2.158
119011655,Sydney,74308,27036,20800,1000000,2.08
119011656,Sydney,76284,27960,23400,1000000,2.34
119011657,Sydney,107328,31200,24960,1000000,2.496
119011658,Sydney,112632,32340,24960,1000000,2.496
119021362,Sydney,79300,26028,20540,1000000,2.054
119021366,Sydney,71968,24312,19760,1000000,1.976
119021367,Sydney,88608,27600,22100,1000000,2.21
119021573,Sydney,63804,20544,18200,1000000,1.82
119021574,Sydney,64896,20436,18200,1000000,1.82
119021659,Sydney,77532,24000,20800,1000000,2.08
119021660,Sydney,71604,23400,19760,1000000,1.976
119021661,Sydney,93600,26652,23400,1000000,2.34
119021662,Sydney,112476,33708,29640,1000000,2.964
119021663,Sydney,95732,31200,23400,1000000,2.34
119031370,Sydney,85592,27036,20800,1000000,2.08
119031371,Sydney,126776,36000,25480,1000000,2.548
119031372,Sydney,108732,31200,23400,1000000,2.34
119031373,Sydney,62816,25200,15600,1000000,1.5599999999999998
119031374,Sydney,109044,31200,25480,1000000,2.548
119031664,Sydney,89284,24120,23920,1000000,2.392
119031665,Sydney,96616,31200,25480,1000000,2.548
119031666,Sydney,111852,30000,21840,1000000,2.1839999999999997
119031667,Sydney,87828,25200,20800,1000000,2.08
119041377,Sydney,105404,32400,26000,1000000,2.6
119041378,Sydney,101868,27012,24128,1000000,2.4128
119041379,Sydney,101608,27660,23400,1000000,2.34
119041380,Sydney,85644,29808,23400,1000000,2.34
119041381,Sydney,99320,26220,23920,1000000,2.392
119041382,Sydney,93496,31200,26000,1000000,2.6
119041668,Sydney,107484,28800,26000,1000000,2.6
119041669,Sydney,101348,30000,27040,1000000,2.704
119041670,Sydney,93496,26004,21840,1000000,2.1839999999999997
119041671,Sydney,112320,28596,28080,1000000,2.8080000000000003
120011383,Sydney,124176,36000,31200,1000000,3.1199999999999997
120011385,Sydney,143208,39000,31200,1000000,3.1199999999999997
120011386,Sydney,121316,36000,29952,1000000,2.9952
120011672,Sydney,124020,31200,26000,1000000,2.6
120011673,Sydney,113516,30000,29120,1000000,2.912
120021387,Sydney,163748,48000,33280,1000000,3.328
120021389,Sydney,159068,42000,31200,1000000,3.1199999999999997
120021674,Sydney,139204,41604,29640,1000000,2.964
120021675,Sydney,141492,41364,31200,1000000,3.1199999999999997
120031392,Sydney,108784,28800,24960,1000000,2.496
120031393,Sydney,95888,30000,22360,1000000,2.236
120031394,Sydney,112424,31200,24960,1000000,2.496
120031395,Sydney,123604,36000,24440,1000000,2.444
120031396,Sydney,105924,25524,23400,1000000,2.34
120031576,Sydney,106340,28800,23920,1000000,2.392
120031676,Sydney,98176,26004,21840,1000000,2.1839999999999997
120031677,Sydney,99736,28224,24440,1000000,2.444
120031678,Sydney,86424,28800,26000,1000000,2.6
120031679,Sydney,110292,31680,23920,1000000,2.392
120031680,Sydney,111020,30000,24960,1000000,2.496
120031681,Sydney,141752,38400,27560,1000000,2.7560000000000002
121011399,Sydney,125580,32496,26000,1000000,2.6
121011401,Sydney,142896,36000,31200,1000000,3.1199999999999997
121011682,Sydney,125840,33264,27300,1000000,2.73
121011683,Sydney,207324,51996,44200,1000000,4.42
121011684,Sydney,110396,36000,30680,1000000,3.068
121011685,Sydney,190424,42000,31200,1000000,3.1199999999999997
121011686,Sydney,137696,36000,28600,1000000,2.86
121011687,Sydney,149760,43200,30992,1000000,3.0991999999999997
121021403,Sydney,127400,30600,26000,1000000,2.6
121021404,Sydney,129844,30336,29120,1000000,2.912
121021406,Sydney,144612,36000,28600,1000000,2.86
121021577,Sydney,94484,25380,22880,1000000,2.2880000000000003
121021578,Sydney,113360,31200,23400,1000000,2.34
121021579,Sydney,112060,28560,25480,1000000,2.548
121031407,Sydney,137280,38400,31200,1000000,3.1199999999999997
121031408,Sydney,162500,43200,32240,1000000,3.2239999999999998
121031409,Sydney,177528,42000,33800,1000000,3.38
121031410,Sydney,154180,42000,36400,1000000,3.64
121031411,Sydney,151684,42000,31720,1000000,3.1719999999999997
121031412,Sydney,168116,43200,33800,1000000,3.38
121041413,Sydney,139828,38856,31200,1000000,3.1199999999999997
121041414,Sydney,135980,35400,29900,1000000,2.9899999999999998
121041416,Sydney,122928,35880,28132,1000000,2.8132
121041417,Sydney,140868,34200,31200,1000000,3.1199999999999997
121041688,Sydney,146744,42000,31200,1000000,3.1199999999999997
121041689,Sydney,154232,48000,30160,1000000,3.016
122011418,Sydney,177268,48000,36244,1000000,3.6243999999999996
122011419,Sydney,165620,41604,37700,1000000,3.7699999999999996
122021420,Sydney,132444,39600,38740,1000000,3.8739999999999997
122021421,Sydney,133120,41604,38740,1000000,3.8739999999999997
122021422,Sydney,135564,36396,32656,1000000,3.2655999999999996
122021690,Sydney,118404,36396,34320,1000000,3.4320000000000004
122021691,Sydney,143208,37116,36920,1000000,3.692
122031424,Sydney,127140,38400,28600,1000000,2.86
122031425,Sydney,123708,38148,33800,1000000,3.38
122031427,Sydney,145288,40800,37440,1000000,3.744
122031429,Sydney,141648,36396,31200,1000000,3.1199999999999997
122031430,Sydney,142324,39000,28600,1000000,2.86
122031432,Sydney,150748,38400,31720,1000000,3.1719999999999997
122031692,Sydney,135252,41568,46020,1000000,4.601999999999999
122031693,Sydney,135252,36000,31200,1000000,3.1199999999999997
122031694,Sydney,132600,36000,29796,1000000,2.9796
122031695,Sydney,107588,28800,28600,1000000,2.86
122031696,Sydney,163384,40800,43056,1000000,4.3056
122031697,Sydney,103896,33804,30160,1000000,3.016
123011433,Sydney,106756,28032,21840,1000000,2.1839999999999997
123011698,Sydney,112840,26400,23920,1000000,2.392
123011699,Sydney,113828,29124,23400,1000000,2.34
123011700,Sydney,151476,31200,28600,1000000,2.86
123011701,Sydney,124540,26352,24440,1000000,2.444
123011702,Sydney,124956,30000,26520,1000000,2.6519999999999997
123021436,Sydney,80652,24000,19240,1000000,1.924
123021437,Sydney,80444,24276,20280,1000000,2.028
123021438,Sydney,93288,24000,19500,1000000,1.95
123021439,Sydney,143000,0,17160,1000000,1.7160000000000002
123021441,Sydney,82992,24000,18720,1000000,1.872
123021443,Sydney,89804,24420,19240,1000000,1.924
123021444,Sydney,86476,23400,19240,1000000,1.924
123021703,Sydney,126724,32400,28600,1000000,2.86
123021704,Sydney,107640,26004,21840,1000000,2.1839999999999997
123021705,Sydney,86892,24000,19760,1000000,1.976
123021706,Sydney,71656,21600,17680,1000000,1.7680000000000002
